Nom du produit;Quantité;Prix unitaire;Catégorie
Toner;8;35.15;Bureautique
Toner;79;138.49;Bureautique
Papier;80;409.92;Bureautique
Toner;31;211.72;Bureautique
Stylo;51;360.02;Bureautique
Papier;3;189.77;Bureautique
Papier;13;390.53;Bureautique
Stylo;9;200.03;Bureautique
Toner;29;270.49;Bureautique
Classeur;94;116.12;Bureautique
Classeur;36;325.09;Bureautique
Stylo;83;491.57;Bureautique
Râteau;5;215.62;Jardinage
Tondeuse;20;261.61;Jardinage
Graines;61;159.37;Jardinage
Tondeuse;74;261.1;Jardinage
Râteau;74;464.47;Jardinage
Arrosoir;83;373.03;Jardinage
Graines;23;279.9;Jardinage
Graines;36;235.59;Jardinage
Pelle;80;370.81;Jardinage
Tondeuse;3;335.63;Jardinage
Tondeuse;38;390.29;Jardinage
Canapé;78;58.45;Mobilier
Canapé;71;96.84;Mobilier
Lit;34;309.12;Mobilier
Armoire;27;406.23;Mobilier
Lit;22;204.0;Mobilier
Table;80;248.66;Mobilier
Canapé;4;333.26;Mobilier
Chaise;83;263.15;Mobilier
Lit;28;154.72;Mobilier
Lit;66;39.45;Mobilier
Lit;96;436.52;Mobilier
Armoire;44;161.39;Mobilier
Canapé;69;273.72;Mobilier
Chaise;5;24.91;Mobilier
Chaise;25;393.78;Mobilier
Armoire;15;102.73;Mobilier
Armoire;90;140.32;Mobilier
Chaise;100;132.97;Mobilier
Casque;15;476.09;Électronique
Casque;43;179.83;Électronique
Téléphone;13;220.65;Électronique
Télévision;75;155.29;Électronique
Téléphone;100;160.84;Électronique
Casque;39;431.65;Électronique
Casque;43;376.01;Électronique
Casque;30;42.06;Électronique
Ordinateur;85;241.45;Électronique
Télévision;29;330.99;Électronique
Caméra;86;498.92;Électronique
Téléphone;30;452.54;Électronique
Télévision;11;285.63;Électronique
Téléphone;14;233.65;Électronique
Télévision;65;471.63;Électronique
Casque;53;297.42;Électronique
Téléphone;46;177.63;Électronique
