Nom du produit;Quantité;Prix unitaire;Catégorie
Casque;15;476.09;Électronique
Casque;43;179.83;Électronique
Téléphone;13;220.65;Électronique
Télévision;75;155.29;Électronique
Téléphone;100;160.84;Électronique
Casque;39;431.65;Électronique
Casque;43;376.01;Électronique
Casque;30;42.06;Électronique
Ordinateur;85;241.45;Électronique
Télévision;29;330.99;Électronique
Caméra;86;498.92;Électronique
Téléphone;30;452.54;Électronique
Télévision;11;285.63;Électronique
Téléphone;14;233.65;Électronique
Télévision;65;471.63;Électronique
Casque;53;297.42;Électronique
Téléphone;46;177.63;Électronique
